incident,command,service name,expansion
0,C:\Windows\System32\DriverStore\FileRepository\igoaudioservice.inf_amd64_a696162056f7794b\iGoSwServer.exe --apo,BTHUSB,sys
0,#ИМЯ?,\ASUS Update Checker 2.0,exe
0,C:\Windows\System32\drivers\TsUsbGD.sys,Intel(R) Management Engine Interface,sys
0,C:\Windows\System32\drivers\BTHUSB.sys,Поддержка сканирования WSD,sys
0,C:\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_43033c49f353cf19\ASUSSoftwareManager\AsusUpdateChecker.exe,adobe acrobat update service,exe
0,systemroot\system32\driverstore\filerepository\oem7.inf_amd64_c22251d5ea82b3c3\x64\teedriverw10x64.sys,QWAVEdrv,sys
1,systemroot\system32\drivers\wsdscan.sys,\SamsungMagician,ps1
0,c:\program files (x86)\common files\adobe\arm\1.0\armsvc.exe,\NVIDIA GeForce Experience SelfUpdate_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},-
0,C:\Windows\system32\drivers\qwavedrv.sys,Logitech RightSound Filter Driver,sys
1,C:\Program Files (x86)\Samsung\Samsung Magician\SamsungMagician.ps1,360Box mini-filter driver,sys
0,-,Intel(R) Capability Licensing Service TCP IP Interface,exe
1,Lvrs64.sys,RDMS,exe
0,C:\Windows\system32\drivers\360Box64.sys,acronis,sys
0,%systemroot%\system32\driverstore\filerepository\iclsclient.inf_amd64_76523213b78d9046\lib\socketheciserver.exe,\FxSound\Update,exe
0,%SystemRoot%\system32\svchost.exe -k NetworkServiceRemoteDesktopPublishing,\VMware Guest OS Customization Task,exe
1,system32\drivers\snapman.sys,equipment-gateway-module,exe
0,C:\Program Files\FxSound LLC\FxSound\updater.exe /silent,Intel(R) Graphics Command Center Service,-
0,C:\Windows\TEMP\vmw31CA.tmp1001\guestcustutil.exe post-run HandleCustomizationCompleted,VSStandardCollectorService150,exe
0,C:\equipment-web-app\backend\workDir\gateway-module\equipment-gateway-module.exe,alsysio64.sys,sys
1,-,Запуск скрипта EQ,txt
0,C:\Program Files (x86)\Microsoft Visual Studio\Shared\Common\DiagnosticsHub.Collection.Service\StandardCollector.Service.exe,intcdaud.sys,sys
1,c:\users\user\appdata\local\temp\alsysio64.sys,AutoScsiService,sys
0,C:\TEMP\eqscript\eqfiles.txt,\windows\system32\pcalua.exe,exe
0,systemroot\system32\drivers\intcdaud.sys,Citrix USB Monitor Driver,sys
